value,isoElP,chargeDensity,aggregationPropensityInVivo,_NormalizedVDWVD1075,MoreauBrotoAuto_Hydrophobicity1,GearyAuto_AvFlexibility4,_SecondaryStrD1050,_PolarizabilityD2001,tausw8,tausw2,APAAC2,GearyAuto_ResidueVol12,MoreauBrotoAuto_ResidueVol2,GearyAuto_ResidueASA7,L,MoranAuto_ResidueVol15,MoranAuto_AvFlexibility15,MoranAuto_ResidueVol10,W,GearyAuto_Mutability10,MoreauBrotoAuto_Steric1,QSOgrant30,_HydrophobicityD2075,_HydrophobicityD3001,MoranAuto_Polarizability2,MoranAuto_Polarizability7,GearyAuto_ResidueVol6,GearyAuto_Mutability9,GearyAuto_Mutability7,_HydrophobicityT12,MoreauBrotoAuto_Hydrophobicity14,MoreauBrotoAuto_Hydrophobicity17,MoreauBrotoAuto_Hydrophobicity12,_PolarityT23,MoranAuto_Mutability12,QSOSW29,QSOgrant22,QSOgrant21,_PolarizabilityT23,MoranAuto_Steric8,MoreauBrotoAuto_Polarizability14,MoranAuto_ResidueASA12,GearyAuto_Hydrophobicity10,MoranAuto_FreeEnergy11,_PolarizabilityC2,_ChargeD1001,MoranAuto_Steric10,_PolarityC1,_PolarityC3,MoranAuto_Hydrophobicity17,MoranAuto_Hydrophobicity10,MoreauBrotoAuto_FreeEnergy5,QSOSW16,QSOSW12,MoreauBrotoAuto_AvFlexibility4,MoreauBrotoAuto_AvFlexibility6,_NormalizedVDWVD2001,taugrant6,GearyAuto_Steric8,_SecondaryStrT13,MoreauBrotoAuto_Steric17,MoranAuto_FreeEnergy6,_PolarizabilityD2050,MoreauBrotoAuto_Steric10,GearyAuto_Polarizability8,GearyAuto_Polarizability1,GearyAuto_Polarizability3,MoreauBrotoAuto_Steric11,MoranAuto_Mutability7,MoreauBrotoAuto_Mutability1,_NormalizedVDWVC3,_SecondaryStrD1100,_HydrophobicityC2,_PolarizabilityT13,_PolarityD3001,MoranAuto_AvFlexibility7,MoranAuto_AvFlexibility3,_SecondaryStrD2001,MoreauBrotoAuto_FreeEnergy10,MoreauBrotoAuto_FreeEnergy11,MoreauBrotoAuto_FreeEnergy12,MoreauBrotoAuto_FreeEnergy13,MoreauBrotoAuto_FreeEnergy16,_ChargeT12,_SolventAccessibilityD1075,_NormalizedVDWVT13,GearyAuto_FreeEnergy8,MoreauBrotoAuto_ResidueVol10,GearyAuto_FreeEnergy12,GearyAuto_Steric11
min,2.67,-0.006805221,-1.159,0,-0.943,0,6.667,0,0,0,0,0,-1.207,0,0,-2.078,-2.313,-3.302,0,0,-1.467,0,0,0,-1,-1.971,0,0,0,0,-1.534,-2.158,-1.989,0,-3.107,0,0,0.018724,0,-1.498,-2.239,-3.952,0,-3.628,0,0,-4.558,0,0,-3.804,-1.577,-1.249,0,0,-1.904,-2.362,0,0,0,0,-5.472,-1.981,0,-3.534,0,0.219,0,-5.472,-1.653,-1.909,0,24.138,0,0,0,-1.629,-1.004,0,-2.476,-2.469,-3.262,-4.373,-2.124,0,0,0,0,-2.78,0,0
max,14,0.00654691,1.086,100,1.27,1.793,100,100,20.793,28.854,113.986,6.519,2.82,3.317,66.667,3.419,1.771,3.81,66.667,4.934,3.834,0.089428,100,84.615,1.008,1.616,2.847,4.293,2.801,0.889,2.648,2.817,2.817,0.778,2.313,0.098116,0.227265,0.265826,1,3.442,3.414,3.897,2.882,3.231,0.889,100,4.402,0.889,1,1.975,1.95,2.294,0.107416,0.444785,1.598,2.269,100,25.177,4.211,1,3.881,2.434,100,4.08,4.046,1.837,1.837,4.586,1.939,5.374,1,100,0.846,0.813,100,2.109,1.042,100,5.812,4.351,3.621,1.69,1.952,1,92.308,0.889,4.262,4.172,6.173,5.073
